2026-04-02T20:50:50.952+0200	INFO	Downloader shutting down
2026-04-02T20:50:52.849+0200	DEBUG	download event	{"type": "update", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 63389376}
2026-04-02T20:50:52.849+0200	DEBUG	download event	{"type": "update", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 60866240}
2026-04-02T20:50:52.849+0200	DEBUG	download event	{"type": "update", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 61570752}
2026-04-02T20:50:53.049+0200	DEBUG	download event	{"type": "update", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 71335616}
2026-04-02T20:50:53.049+0200	DEBUG	download event	{"type": "update", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 68402880}
2026-04-02T20:50:53.049+0200	DEBUG	download event	{"type": "update", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 69238464}
2026-04-02T20:50:53.249+0200	DEBUG	download event	{"type": "update", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 79265472}
2026-04-02T20:50:53.249+0200	DEBUG	download event	{"type": "update", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 76005056}
2026-04-02T20:50:53.249+0200	DEBUG	download event	{"type": "update", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 76857024}
2026-04-02T20:50:53.449+0200	DEBUG	download event	{"type": "update", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": 87146176}
2026-04-02T20:50:53.449+0200	DEBUG	download event	{"type": "update", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": 83574464}
2026-04-02T20:50:53.449+0200	DEBUG	download event	{"type": "update", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": 84590272}
2026-04-02T20:50:53.452+0200	WARN	Graceful phase timed out, cancelling tasks
2026-04-02T20:50:53.452+0200	DEBUG	Downloader awaiting events drain for	{"time": "2.499956603s"}
2026-04-02T20:50:53.452+0200	DEBUG	download event	{"type": "cancel", "downloadId": "92ab9ea9-2e57-48b1-a572-cbf6934df0ec", "taskId": "b5166651-0bb8-40be-9ef2-14c1a5cbf8fb", "data[any]": null}
2026-04-02T20:50:53.452+0200	DEBUG	download event	{"type": "cancel", "downloadId": "d2f995d7-3c32-4ce9-bd5b-b2d247d53cd6", "taskId": "da66d66c-d07b-409d-a999-d7cb07815cae", "data[any]": null}
2026-04-02T20:50:53.452+0200	DEBUG	download event	{"type": "cancel", "downloadId": "f001741a-a80d-4a81-a9ba-d4f01a6ac001", "taskId": "a0698815-badf-446b-bb97-bf541adb5c1b", "data[any]": null}
2026-04-02T20:50:53.452+0200	INFO	All tasks removed after cancel
